lambda2,seed,val_loss,r_perp
0.0001,2684470948,0.608407199382782,0.1945138281609029
0.0001,4091952314,0.6105445027351379,0.11653427567950583
0.0001,233227757,0.6068087816238403,0.1849898439537993
0.001,2684470948,0.6107377409934998,0.17356535421476108
0.001,4091952314,0.6088688969612122,0.11486460121151283
0.001,233227757,0.6067778468132019,0.16850062758200818
0.01,2684470948,0.6107807755470276,0.1501412893483044
0.01,4091952314,0.6106743812561035,0.10227661714817637
0.01,233227757,0.606719970703125,0.11661808165810697
0.1,2684470948,0.6080433130264282,0.08116473220593479
0.1,4091952314,0.6099846959114075,0.09864608583213107
0.1,233227757,0.6062291264533997,0.058502481772993456
1.0,2684470948,0.6120184659957886,0.0813788509887105
1.0,4091952314,0.6046533584594727,0.08051096975670417
1.0,233227757,0.609767735004425,0.07884448849879777
10.0,2684470948,0.6186966896057129,0.08024778609949275
10.0,4091952314,0.6709501147270203,0.05844350637568148
10.0,233227757,0.6105299592018127,0.07648896180776073
