lambda2,seed,val_loss,r_perp
0.0001,2684470948,0.600963294506073,0.15777051001826542
0.0001,4091952314,0.6083803176879883,0.18009440434762503
0.0001,233227757,0.6013305187225342,0.12749525962536024
0.001,2684470948,0.6001956462860107,0.10569791229084599
0.001,4091952314,0.6081328988075256,0.13670835797734535
0.001,233227757,0.6013334393501282,0.13437073057094753
0.01,2684470948,0.6066524386405945,0.07514135239585717
0.01,4091952314,0.6063754558563232,0.09766043149947656
0.01,233227757,0.6015177965164185,0.11375321275292409
0.1,2684470948,0.5982136130332947,0.07045800178070578
0.1,4091952314,0.6008884310722351,0.09297738558284739
0.1,233227757,0.6009498238563538,0.09326029350451441
1.0,2684470948,0.6015674471855164,0.1437046732265957
1.0,4091952314,0.597182035446167,0.06931510092169794
1.0,233227757,0.6060588955879211,0.0767235900109865
10.0,2684470948,0.6520320177078247,0.07353604180632506
10.0,4091952314,0.616843044757843,0.07372685192103069
10.0,233227757,0.6081037521362305,0.057672204705877035
