lambda2,seed,val_loss,r_perp
0.0001,2684470948,0.5938457250595093,0.2026838288024524
0.0001,4091952314,0.5931682586669922,0.15053234676792085
0.0001,233227757,0.5952323079109192,0.2056169623286697
0.001,2684470948,0.5937403440475464,0.1728758748608604
0.001,4091952314,0.5931326150894165,0.1359338039666521
0.001,233227757,0.5945281982421875,0.17714418303018215
0.01,2684470948,0.5939321517944336,0.13087621306862757
0.01,4091952314,0.5934720039367676,0.12519422820944337
0.01,233227757,0.5960082411766052,0.13384045166496877
0.1,2684470948,0.5945191979408264,0.09606226021355284
0.1,4091952314,0.5932565927505493,0.08853148249350952
0.1,233227757,0.597353994846344,0.09671031504727239
1.0,2684470948,0.5949247479438782,0.10281203349845236
1.0,4091952314,0.5966095328330994,0.07656588342912722
1.0,233227757,0.6010709404945374,0.08504932809802448
10.0,2684470948,0.6048641204833984,0.07975005676664192
10.0,4091952314,0.6032564043998718,0.07520427245719367
10.0,233227757,0.6093840599060059,0.07472957965135037
