lambda2,seed,val_loss,r_perp
0.0001,2684470948,0.5820739269256592,0.20690562054854317
0.0001,4091952314,0.5801855325698853,0.19705654611235862
0.0001,233227757,0.5807445645332336,0.20416215370670854
0.001,2684470948,0.580586314201355,0.204952516901004
0.001,4091952314,0.5805025696754456,0.19640657985494325
0.001,233227757,0.579853355884552,0.2046354246447184
0.01,2684470948,0.581898033618927,0.12955122322854368
0.01,4091952314,0.5804654359817505,0.1596916570651695
0.01,233227757,0.5807718634605408,0.1376252164085914
0.1,2684470948,0.5811487436294556,0.12949580700631366
0.1,4091952314,0.5827142596244812,0.10226643932397739
0.1,233227757,0.5836175680160522,0.10482197623721458
1.0,2684470948,0.5781627893447876,0.13881553842963007
1.0,4091952314,0.5834518074989319,0.10226838174847531
1.0,233227757,0.5853940844535828,0.09614769203769455
10.0,2684470948,0.5898967981338501,0.15884664804484494
10.0,4091952314,0.5939125418663025,0.1063090365285
10.0,233227757,0.6335282921791077,0.07801337834715064
